"(Bay_id, Aisle_id, Level_id)",Occupancy,Pallet_id
"(2, 13, 5)",1,3920
"(2, 13, 6)",1,3976
"(2, 13, 7)",1,4032
"(2, 13, 8)",1,4088
"(2, 13, 9)",1,4144
"(2, 13, 10)",1,4200
"(2, 14, 1)",0,0
"(2, 14, 2)",0,0
"(2, 14, 3)",0,0
"(2, 14, 4)",0,0
"(2, 14, 5)",0,0
"(2, 14, 6)",0,0
"(2, 14, 7)",0,0
"(2, 14, 8)",0,0
"(2, 14, 9)",0,0
"(2, 14, 10)",0,0
"(2, 15, 1)",1,4256
"(2, 15, 2)",1,4312
"(2, 15, 3)",1,4368
"(2, 15, 4)",1,4424
"(2, 15, 5)",1,4480
"(2, 15, 6)",1,4536
"(2, 15, 7)",1,4592
"(2, 15, 8)",1,4648
"(2, 15, 9)",0,0
"(2, 15, 10)",0,0
"(2, 16, 1)",1,3136
"(2, 16, 2)",1,3192
"(2, 16, 3)",1,3248
"(2, 16, 4)",1,3304
"(2, 16, 5)",1,3360
"(2, 16, 6)",1,3416
"(2, 16, 7)",1,3472
"(2, 16, 8)",1,3528
"(2, 16, 9)",1,3584
"(2, 16, 10)",1,3640
"(2, 17, 1)",1,2129
"(2, 17, 2)",1,2185
"(2, 17, 3)",1,2241
"(2, 17, 4)",1,2297
"(2, 17, 5)",1,2353
"(2, 17, 6)",1,2409
"(2, 17, 7)",1,2465
"(2, 17, 8)",1,2521
"(2, 17, 9)",1,2577
"(2, 17, 10)",1,2633
"(2, 18, 1)",0,0
"(2, 18, 2)",0,0
"(2, 18, 3)",0,0
"(2, 18, 4)",0,0
"(2, 18, 5)",0,0
"(2, 18, 6)",0,0
"(2, 18, 7)",0,0
"(2, 18, 8)",0,0
"(2, 18, 9)",0,0
"(2, 18, 10)",0,0
"(2, 19, 1)",1,2689
"(2, 19, 2)",1,2745
"(2, 19, 3)",1,2801
"(2, 19, 4)",1,2857
"(2, 19, 5)",1,2913
"(2, 19, 6)",1,2969
"(2, 19, 7)",1,3025
"(2, 19, 8)",1,3081
"(2, 19, 9)",0,0
"(2, 19, 10)",0,0
"(2, 20, 1)",1,1569
"(2, 20, 2)",1,1625
"(2, 20, 3)",1,1681
"(2, 20, 4)",1,1737
"(2, 20, 5)",1,1793
"(2, 20, 6)",1,1849
"(2, 20, 7)",1,1905
"(2, 20, 8)",1,1961
"(2, 20, 9)",1,2017
"(2, 20, 10)",1,2073
"(2, 21, 1)",1,562
"(2, 21, 2)",1,618
"(2, 21, 3)",1,674
"(2, 21, 4)",1,730
"(2, 21, 5)",1,786
"(2, 21, 6)",1,842
"(2, 21, 7)",1,898
"(2, 21, 8)",1,954
"(2, 21, 9)",1,1010
"(2, 21, 10)",1,1066
"(2, 22, 1)",0,0
"(2, 22, 2)",0,0
"(2, 22, 3)",0,0
"(2, 22, 4)",0,0
"(2, 22, 5)",0,0
"(2, 22, 6)",0,0
"(2, 22, 7)",0,0
"(2, 22, 8)",0,0
"(2, 22, 9)",0,0
"(2, 22, 10)",0,0
"(2, 23, 1)",1,1122
"(2, 23, 2)",1,1178
"(2, 23, 3)",1,1234
"(2, 23, 4)",1,1290
"(2, 23, 5)",1,1346
"(2, 23, 6)",1,1402
"(2, 23, 7)",1,1458
"(2, 23, 8)",1,1514
"(2, 23, 9)",0,0
"(2, 23, 10)",0,0
"(2, 24, 1)",1,2
"(2, 24, 2)",1,58
"(2, 24, 3)",1,114
"(2, 24, 4)",1,170
"(2, 24, 5)",1,226
"(2, 24, 6)",1,282
